Project Gutenberg Kids Books,Languages,,,,,,,,,,,,,,,
https://www.gutenberg.org/wiki/Children%27s_Literature_(Bookshelf),da,de,el,en,eo,es,fi,fr,hu,it,la,nl,pt,sv,tl,zh
22234,43338,22516,39462,1342,17665,54471,43279,29950,38744,53110,54243,16755,24847,47799,17786,7271
2726,41277,46204,34434,84,52062,14995,13662,43436,57579,45334,54243,51763,18026,52943,47629,26737
163,46278,36488,39319,844,18178,45837,52099,57270,56745,17909,41763,42858,18519,52266,18306,26904
5830,29124,3217,31808,1080,25386,17317,54390,31947,40494,45215,42212,17072,23621,15024,16119,7315
2786,29392,47713,34095,98,17482,15532,45371,36369,57029,34734,48681,21926,22632,57052,18888,52271
3499,41786,49424,33354,11,28721,39113,44945,13875,19040,53110,9175,17685,20103,14050,14270,24114
10360,33562,54440,20175,2701,27915,51450,41120,52927,27685,37776,21827,29661,33057,56350,13156,52200
2788,9264,34099,31400,219,27170,51689,35656,12646,38673,27719,51045,43815,41293,46962,13915,27148
514,12168,52015,37131,160,19183,40827,55848,26766,30430,58648,27672,34638,18220,15761,20228,25246
7425,29124,20757,17814,5200,37644,50365,47510,56054,46562,36109,20371,53612,16922,48365,14271,24228
5352,41072,29327,37352,345,25539,36990,28035,10346,56996,27428,34914,13787,19974,54571,46639,28714
3806,40310,44921,30748,1661,20802,33690,16212,16260,57477,27433,7402,29192,33572,54113,15845,7316
8188,33632,24677,38414,43,38240,45831,49423,23020,43479,32585,43789,29235,13630,9951,20858,3100
2787,34213,58399,28606,74,32480,16109,13023,31474,56789,47051,33311,18016,23919,54935,18805,2090
17337,51384,47827,31865,76,26480,57225,48662,34364,56740,17883,46768,19456,32792,48526,14215,25123
21946,32865,3299,30616,174,32314,30986,50297,45428,57058,46213,56842,14281,30510,50241,13773,56202
2804,12167,19778,40935,1952,37279,39613,58815,17930,41612,17035,19072,18235,22378,56938,16899,7341
22022,24486,50979,29836,33283,24525,9890,48632,17494,55711,30839,20356,11287,29039,48665,15981,27402
3795,29124,30077,29062,2591,47259,25807,26559,57584,42094,43244,47001,28868,31379,50223,16119,7455
16,29124,6651,34182,6130,26480,44112,54343,57584,39352,48512,51444,21925,28707,30525,13233,4579
4357,36871,21680,32852,205,24074,30053,48905,51338,38563,48352,56651,18069,32646,48750,17023,25346
22566,12987,13805,30719,2600,35917,37382,47574,15732,30277,48335,33197,18412,34952,56547,15628,25423
517,41956,58804,27845,1260,39840,26404,51794,39165,41670,48352,49764,57073,39618,12119,16119,27686
518,38080,17383,34132,16328,21951,57303,14434,14693,55588,7781,19072,43704,24833,24100,17116,7314
961,34103,8916,17839,1400,24145,49914,58354,41124,56627,41473,33849,55820,22614,48712,42851,25471
519,36430,50127,30741,59124,32313,41746,54706,38400,18365,45224,33197,18098,16633,53253,20738,54820
520,12117,51359,38285,4300,30991,15781,50563,42126,42465,45698,237,21269,35131,12613,15129,24079
25519,10829,46781,34874,408,24057,39209,55209,26720,40561,52281,8400,20391,28584,53972,17479,27753
24459,12698,37069,36116,158,30992,18723,56867,54397,19749,22498,9646,17528,20841,56117,18887,25375
419,34786,50120,36850,2814,55302,44112,39859,34648,40685,50645,16400,53857,16428,48738,13320,24272
54,11396,52327,34767,25344,8177,56051,52544,51012,42325,53287,25055,55929,24844,56715,18141,4094
19466,33360,55892,31403,23,37643,16149,53119,36357,38476,19437,14945,27800,34288,20518,16312,25328
17426,10686,30695,40935,5740,35981,58425,53783,30917,38914,47041,17859,50675,20570,52547,13686,25286
5660,34747,17130,31442,16,23586,53330,55579,46832,56854,45218,19072,17822,29484,31539,17441,52280
22225,38515,54438,27760,120,29403,56519,39317,44402,56378,46031,42212,41427,16429,13100,15531,54433
436,32865,5740,41684,30254,24355,27214,56647,20077,57127,42418,14959,56257,13093,48656,18536,52280
5312,32366,52335,17839,3825,26959,15532,56807,43277,42325,47058,9090,24116,34276,53343,15980,24021
486,24747,53428,30741,768,47913,15115,37077,33157,56296,51857,48681,27955,20874,53146,18830,25128
955,48962,38506,32851,1232,23837,32235,56930,47196,57129,41948,25055,27803,20574,48961,47629,24240
25581,40310,36382,31450,59134,20162,47584,45271,30515,32816,37783,19072,35806,24824,56160,35868,4572
485,46335,46890,32549,46,42774,47287,51485,54723,20942,33866,43789,18793,57001,26547,14205,25561
957,40291,6647,42509,1184,19030,24601,44698,33590,27565,38298,30345,15690,29377,50062,14982,54777
4358,44275,53359,32799,59125,19183,29078,23342,39410,43479,17687,827,29712,13092,48657,16656,27166
4356,44967,29957,37200,59132,18326,52682,44839,20490,56745,22502,10054,38980,32519,15959,18282,23833
16259,46335,16278,39319,203,20943,51604,53381,27837,38541,41157,8738,36418,25537,31014,15531,25130
956,12339,5653,39764,3600,39842,37590,50851,29802,43746,30766,19072,36294,24508,48854,13687,24059
960,24447,58351,29011,1497,55302,16105,49536,57879,47073,47891,47001,48607,19062,26546,15418,57238
21914,43899,58848,37868,786,8177,58221,41686,28370,27685,42436,34733,26564,22622,54237,20738,7375
55,11139,51582,37397,100,19803,50726,44313,14247,55984,25265,14970,17524,33838,56421,16386,27216
11757,37594,37066,36262,55,23093,39948,49082,52843,56996,14370,16564,50638,18519,27418,15129,25414
5420,34272,45434,27592,375,19293,1619,38344,11175,57256,28993,13316,17637,34041,52445,17787,54820
14375,56268,50296,39251,244,23670,30275,56405,55637,57477,36239,7402,33720,8698,52789,16311,25352
5110,34178,39562,26784,209,11511,57448,53605,58801,47542,10272,57232,36381,30699,27416,15418,24141
21015,56268,53239,29833,3207,16967,10261,55416,32194,34726,54167,8997,36982,19189,23891,18802,24327
5844,33632,46576,40296,41,32313,24031,50749,44157,43779,48361,39355,58054,24620,17904,20738,7484
19079,2144,39441,29011,1322,44130,53207,44826,36941,41601,50649,13316,28581,28399,49996,13683,24273
11915,29124,30042,31402,2852,52556,40827,51503,57584,34726,38698,10054,42867,21799,26546,18955,25414
12630,10218,44136,36248,19942,35743,29731,59098,54387,55647,45221,13316,55485,23105,46844,18386,27636
19092,38220,39043,4100,35,17945,55480,43547,19228,47027,25180,16564,26594,34750,57499,17070,4576
2493,35102,39545,39493,4517,25964,51130,48463,46253,47835,43226,58978,29359,28526,54651,17479,25167
5846,35886,20780,34951,161,47855,41106,28661,6309,40748,51706,22119,21974,26850,8518,14794,23865
15521,41045,36766,27845,30360,11511,49298,22828,36911,47073,56509,50280,16043,30413,21916,17257,25225
1825,29392,54574,39963,59136,20802,54791,53677,30067,43029,41281,33197,11317,25238,28473,15845,26997
14732,41072,55881,34881,36,8224,51870,51507,34445,42372,46463,58528,26696,28692,20518,16157,23908
4979,39507,48541,37791,45,20178,52499,43236,44749,43324,7267,57615,32180,34293,53591,18858,7317
15168,43290,34059,39073,730,21195,47631,55293,18537,47542,10273,58528,36056,29120,31047,15531,24047
13355,43275,23775,38851,2097,21195,19543,52004,30922,33026,34642,16564,20465,29550,55542,15531,26920
4670,24447,53054,29835,4363,17665,45945,50164,58154,42020,42928,8400,24675,23621,40094,15628,52275
20877,12831,20965,40935,779,25386,16132,53442,34516,57214,43174,16561,55522,22015,57103,43902,25297
17250,32494,53292,42700,10,16967,15066,44775,38996,56525,57549,7466,19072,31905,53853,16446,24029
14958,43295,54560,27429,514,29403,14796,47886,26415,43777,39793,29645,23759,33245,49047,20858,25501
5791,36942,42900,27816,20203,24501,16109,49487,43652,56057,59047,25055,29429,21581,18043,14822,24170
4980,9843,6728,17996,1228,51069,11081,57901,55569,56922,42684,16400,29590,14620,50263,20858,27292
2557,29124,26949,31445,1934,47249,29610,55344,40086,56025,45225,607,28181,28364,30080,20228,24136
4698,32494,50136,30613,34901,28720,25807,44899,19249,42286,1010,52593,52415,34960,18317,45007,54784
460,39722,6736,33961,59133,18836,37139,47839,57762,39386,35804,18976,54810,30856,21862,16641,4094
5302,41198,8915,29835,,25539,56770,14864,34692,42143,42882,33197,13596,25697,49997,,24183
5303,34213,45600,32797,,28968,51029,56188,38320,40088,19048,7402,27914,31552,52710,,25147
479,39510,46270,35320,,52876,55440,52174,41121,43747,47978,27049,25319,30801,58368,,25327
146,2143,44036,28606,,19858,23600,38113,17640,57414,32265,231,45431,28639,48665,,3100
10466,13599,54727,27315,,27170,11071,48062,26943,30346,10275,13316,36077,22679,27249,,27218
384,13175,55301,36850,,38240,29770,52336,20325,41587,46914,38503,10400,22723,54184,,30465
5304,43781,39189,37098,,17425,11047,48416,38361,55911,11644,32549,31849,31917,27419,,25421
24772,,58957,32797,,19182,45438,40876,35986,45246,27369,14959,45877,24129,15703,,23962
8574,,17657,33442,,23837,27738,42107,54983,30346,19024,16439,26395,29213,15821,,26886
113,,52360,40123,,20006,15725,56422,35163,42094,28374,56651,30933,27498,48657,,25716
5347,,53706,17996,,7787,24250,49600,19483,34788,35947,34078,44814,23621,52758,,7406
19033,,58306,30613,,37279,25807,56548,43901,34759,43949,33311,19866,32647,49801,,23825
19778,,52283,31444,,26359,21143,53211,22741,56920,35048,46938,11884,27390,53343,,25298
17482,,29376,39476,,22901,5879,55664,39687,46089,58415,10276,26127,22977,48052,,25347
19002,,12921,31450,,34043,5201,57219,15361,56532,48292,8997,54118,40409,49720,,7313
13,,7888,30614,,20943,41106,16392,38734,42272,45906,53315,10349,24847,13371,,25242
23717,,39565,39208,,28968,24250,52554,27843,43778,56775,9646,19545,24701,52732,,43014
12,,43570,37816,,18836,14722,52961,26943,42326,45220,13316,17077,27364,8518,,25391
8994,,4080,32740,,24575,57654,52080,802,57128,47163,9175,48956,31509,50112,,24098
8995,,2947,36944,,19803,36990,54883,42662,44216,42649,20356,42815,16385,40557,,25236
5141,,16880,36284,,24292,34565,50348,17670,40088,50674,19072,52341,27599,51440,,27734
15798,,42406,37721,,24763,39947,52198,23158,30163,39289,33197,34590,45840,52772,,27060
4560,,39624,32852,,24575,52262,29176,46525,55607,54831,25055,13705,21406,31533,,24169
,,24746,36049,,19182,43276,55203,33734,30060,39902,56744,50300,40093,52966,,7289
,,35085,38765,,44131,15725,53512,17980,39649,35801,42212,31198,28155,52884,,26739
,,48158,35453,,20178,40827,52503,4568,20169,43180,9175,28872,33067,27420,,4574
,,54170,42070,,24074,5881,54110,37248,43653,11305,8997,35881,33592,52659,,25716
,,40217,27938,,37978,14329,16034,51516,40740,46900,24967,49554,28128,15719,,27108
,,40165,28202,,20162,44112,47199,57584,55985,17850,23143,50018,23110,48676,,24042
,,54263,31808,,52556,57982,57064,33881,43694,33781,607,33641,27637,52671,,26872
,,48901,31669,,23093,53405,27653,6099,56026,29846,38708,17523,21209,57993,,27329
,,33726,27389,,35743,49063,16071,55135,39336,16489,227,51416,23620,27416,,7217
,,21798,28626,,20931,42376,18998,25752,56532,41088,56312,28963,27545,49929,,54777
,,6729,33561,,45713,43432,13099,26824,56835,53303,35803,43815,24463,29935,,25263
,,18231,38851,,34042,48946,54472,51120,38852,31818,51139,10512,34742,15786,,24233
,,54201,42397,,25311,44112,34714,42310,30060,997,20356,34955,3333,51825,,24050
,,33327,41868,,17482,44112,55991,13198,43478,53208,22119,13697,52808,15753,,30460
,,15505,38213,,24145,55616,55449,40195,57127,17805,229,14042,28928,29707,,25243
,,50681,39633,,30536,15531,45726,38736,5640,43575,23143,37789,9654,53842,,26904
,,14142,31435,,35917,49388,15499,35404,43324,42776,22920,18976,34292,54200,,27016
,,57131,36263,,51690,11657,45056,22078,42264,39506,226,36440,30091,12499,,25649
,,56782,34879,,37642,5880,47539,43767,42465,45807,27219,58515,22826,9827,,24048
,,47940,34169,,23774,18005,56492,56149,56723,47480,39186,49880,26913,28611,,4577
,,53856,34182,,23670,47650,46741,48881,57213,14370,27672,44863,27388,15731,,23910
,,40737,33961,,28721,50341,43322,52919,5640,58316,19072,27847,46860,49801,,23849
,,49381,28018,,22070,13904,49534,47963,57213,44714,25055,6748,32789,2100,,25121
,,58989,38800,,37977,25705,52313,38696,41504,42387,825,27335,55797,56757,,23945
,,58989,26784,,52111,54282,18476,15554,41539,48609,19072,18147,24514,53842,,25606
,,31527,31402,,22070,34731,54853,46245,38641,44549,43789,27833,24339,52758,,25385
,,40294,40935,,25964,41106,18115,12504,39699,43024,50732,47442,30857,55044,,24229
,,17379,35978,,32035,18157,54876,11037,56580,43260,8400,33297,23621,54443,,4578
,,33202,27315,,49232,37095,25069,43294,43194,42976,27050,17336,27820,18447,,7383
,,21535,34767,,24763,52036,43850,51013,42242,37719,25055,17468,21429,10117,,24039
,,50456,31405,,35743,48081,41469,43980,40577,18456,19072,20536,23525,30078,,24060
,,53457,40061,,16967,14944,53301,52929,43603,51706,37641,17525,32869,48052,,7407
,,34059,40935,,28720,49333,52432,46765,56941,47461,56312,14561,34961,48307,,26738
,,48715,33351,,52556,41842,53180,38034,55912,43022,18976,53393,24710,33791,,23907
,,32391,34723,,55954,6528,27539,14115,42379,51527,43686,8096,31694,34236,,23816
,,7875,36191,,52064,49560,47994,13808,40506,47664,51045,53857,22894,52780,,27119
,,34811,27895,,26099,53587,52350,34354,57353,19060,25861,25946,21786,8518,,24225
,,15813,31434,,11307,51627,18144,39101,42242,21683,56312,26564,34155,50028,,23838
,,46873,17814,,8177,56251,44545,26685,42326,49626,51812,21848,26103,47543,,24138
,,46903,42962,,42028,10821,56785,19075,55712,39658,43686,36982,25113,49308,,24223
,,6639,32741,,16967,41789,58959,57430,45246,54070,42212,19072,35982,17015,,25558
,,40231,30615,,19030,50291,48387,45121,56295,51325,19635,48669,20042,50149,,56291
,,55371,39382,,17425,15532,57145,44285,40801,39337,41255,38546,25239,54200,,52238
,,2336,34881,,23774,22065,42116,42131,57129,34640,14959,37500,25845,27420,,27172
,,50283,34879,,39840,10262,12688,13027,42071,45904,16439,33297,31346,30079,,52267
,,17169,31669,,44668,30425,48957,47360,41699,11206,14945,48386,26914,39147,,27092
,,45956,32796,,24292,24208,16318,53564,56591,999,27050,11208,25641,13101,,27171
,,18101,28018,,24501,39990,15499,52669,55934,47890,20356,14027,20149,48060,,27302
,,57516,37721,,44666,39312,52306,42463,57214,42927,28233,27833,18167,57622,,25401
,,55657,57629,,27593,28929,36527,19149,38728,44549,31894,17729,27725,51479,,25360
,,58145,30615,,22901,45438,18186,27296,39931,19884,43789,13699,30069,19128,,56202
,,53925,32729,,20931,10236,50250,18245,56755,45219,7466,37028,22678,57103,,7419
,,30237,34880,,24355,49149,22556,18925,56189,34641,52693,17524,29040,15724,,23913
,,49395,32666,,52876,52469,50262,29922,30430,37986,29495,39146,20142,56567,,25250
,,26971,35560,,37978,30053,53752,26749,57128,42502,33311,22908,23201,53173,,25399
,,40805,31404,,52876,33690,21347,17319,45147,31000,51443,18363,21545,48676,,24137
,,3224,32305,,27915,42456,52994,46721,34712,14370,22919,15048,22044,56967,,25321
,,51349,31402,,18178,36940,16365,42192,42020,34517,52691,48231,31166,48269,,25202
,,51223,34434,,37643,18783,28661,15823,42020,47138,18976,17431,22817,56715,,24239
,,9158,32305,,24145,54430,52678,34564,39737,37900,33311,11739,31656,53914,,23876
,,28219,34133,,31348,50027,13259,36706,40669,22020,53944,12637,22643,55889,,25262
,,56871,36116,,55574,26983,50214,40877,55632,51464,19072,8098,23620,52752,,25349
,,3214,34577,,45713,37590,11296,42036,40039,48333,54243,27836,32872,48988,,23850
,,21349,40935,,44128,40827,24687,40308,43324,7151,51812,28175,28692,15753,,25521
,,7264,35789,,57184,2000,13733,35880,30232,28321,218,56749,22468,26546,,23983
,,35605,36205,,49233,40827,15217,43501,47541,48943,56312,21947,25336,57357,,27017
,,13451,36300,,52577,24208,12432,11131,57233,48332,33311,57093,34040,51613,,54433
,,48705,29834,,48900,14765,27140,16238,42020,20094,51444,46715,26605,48071,,23951
,,56164,36191,,45612,58077,53215,26567,39450,43181,51443,10971,23851,46538,,24113
,,46141,40139,,56351,51870,49430,57584,45246,43022,52692,11286,37879,50450,,25273
,,29780,29834,,34043,42424,13129,28412,57519,39469,25861,33764,22729,14670,,7221
,,50691,33396,,48900,20029,16806,28622,56818,41551,34913,55756,27964,28539,,7216
,,43914,33396,,21194,52795,26179,20199,57394,30766,8997,20502,29997,52475,,7215
,,26694,42397,,52556,48954,13063,36316,40392,39469,51045,36225,34623,57357,,27330
,,48921,27938,,21194,16109,18512,26823,56636,51402,18331,41240,20998,58544,,23585
,,29553,34896,,30992,55796,45459,31070,57477,51706,54243,21848,28207,55524,,7408
,,48097,37721,,19293,21144,55205,26566,40627,29961,22368,16061,32793,48248,,23947
,,51476,36096,,48033,44112,45987,54664,56920,19517,24967,20530,33611,8518,,25431
,,15711,28658,,47913,16372,49578,15557,39299,43316,36186,25841,20874,27417,,51828
,,49024,35453,,28971,53517,11295,57584,40715,56890,14945,18532,33159,54714,,29032
,,45725,35320,,17945,20159,25924,21199,57234,22502,46938,31649,16218,17904,,25606
,,49424,37585,,22592,28430,51583,7263,38568,48530,14945,11205,30071,27417,,25142
,,30237,40098,,39841,10909,49160,55659,56662,45120,50280,18850,52847,22122,,25374
,,34694,31436,,18326,58298,48817,39024,56649,56888,8738,15215,24919,56547,,27291
,,7202,30719,,26959,41106,51186,58260,38461,55545,15582,19786,30510,48964,,24185
,,57850,31802,,17482,44112,53585,19234,56458,50996,47001,23862,23620,18017,,25195
,,41931,35655,,48896,24925,49717,27574,47541,43859,33197,37297,25898,27875,,7342
,,22235,36586,,19858,10822,45340,53279,55667,35799,58978,26387,30543,48750,,23915
,,55740,37397,,22592,49359,48498,58467,56592,46874,33849,13326,24661,48627,,54756
,,46442,39530,,37644,28927,50967,20262,43443,1011,46456,43213,29428,48627,,23948
,,2339,30741,,39842,58916,41053,56309,56855,48769,49697,50771,23621,54157,,7266
,,46135,39530,,48033,49914,45335,48878,33026,38509,47001,18532,25594,51440,,52280
,,51389,40061,,30991,55882,47286,54873,46563,34735,15680,18023,30919,58339,,26886
,,56330,33442,,44667,16109,22753,7818,40088,43512,19072,38422,29819,48071,,27204
,,56317,30748,,37977,16149,50084,16934,56377,31285,56312,46881,13630,54081,,27145
,,46903,39601,,23093,19847,45726,17577,19433,29636,14970,51691,30161,55252,,25187
,,46231,31401,,37642,58194,49883,23610,57214,47277,34733,22773,15047,48638,,24040
,,2337,42516,,51690,20855,56729,57584,56459,49463,42212,20969,27412,39213,,27403
,,57187,27668,,56351,51465,53554,14792,56912,45296,14959,37790,25635,14144,,23822
,,27822,27668,,52063,55157,55697,43851,55967,44363,51444,11208,18330,15703,,24112
,,55881,39601,,35981,26947,16211,11769,56969,58008,51443,15975,34387,53114,,24230
